-1.0	10.262%	47.076%	0.218
-2.0	6.964%	34.800%	0.200
-3.0	2.752%	16.797%	0.164
-4.0	0.575%	5.240%	0.110
-5.0	0.111%	1.562%	0.071
-6.0	0.024%	0.519%	0.047
-7.0	0.014%	0.245%	0.058
