forex	21926
ebay	24829
trader	27319
analysis	30240
investor	30291
diet	49491
discount	49521
finance	54443
store	56109
analyst	56216
weight	61437
porn	65574
stock	67557
stories	87745
sales	103411
shopping	116863
products	124613
updates	150303
report	160211
review	167326
journal	220004
editor	223621
promot	234499
deal	324554
marketing	352405
market	500889
media	614252
news	976776
write	1140266
followback	1747151
"follow back"	1941368
